PROXY_XIN_ENG_20021228_0162.8	Al Kindi
PROXY_XIN_ENG_20021020_0012.11	Nepalgunj
ENG_DF_000170_20050903_C00020J0V_0001.48	Junior College Athletic Association
PROXY_XIN_ENG_20040403_0262.15	Titov
PROXY_NYT_ENG_20070618_0031.14	New York Federal Reserve Bank
wb.eng_0003.44	Anonymous
ENG_DF_000170_20050903_C00020J0V_0001.22	Jewish Community Center
PROXY_XIN_ENG_20041219_0059.10	City University of Hong Kong
PROXY_XIN_ENG_20041219_0059.10	University of Science and Technology of China
PROXY_XIN_ENG_20041219_0059.10	Anhui
PROXY_XIN_ENG_20041219_0059.10	Suzhou
PROXY_NYT_ENG_20040724_0084.25	Sao Paolo
PROXY_NYT_ENG_20081128_0005.6	U.N. Drug Office
ENG_NA_020001_20161020_G0023FSW5_0001.5	TN
ENG_NA_020001_20161020_G0023FSW5_0001.5	Solei
ENG_NA_020001_20161020_G0023FSW5_0001.5	National 1 Highway
PROXY_XIN_ENG_20040922_0123.10	Eastern Turkistan
PROXY_NYT_ENG_20050716_0171.35	Ochoa
ENG_NA_020001_20161020_G0023FSWC_0001.5	Departement Sud
ENG_NA_020001_20161020_G0023FSWC_0001.5	Saint Louis Du Sud
PROXY_XIN_ENG_20021123_0156.7	Tang
PROXY_XIN_ENG_20021123_0156.7	SCO
NW_AFP_ENG_0010_2003_0401.6	McCarthy
NW_AFP_ENG_0010_2003_0401.6	Barclays Bank
NW_AFP_ENG_0010_2003_0401.6	BZW
NW_AFP_ENG_0010_2003_0401.6	Kleinwort Benson
NW_AFP_ENG_0010_2003_0401.6	Department of Trade and Industry
PROXY_NYT_ENG_20071115_0274.20	Nuclear Suppliers Group
NW_AFP_ENG_0014_2003_0502.3	Vivendi Universal
NW_AFP_ENG_0014_2003_0502.3	Blackstone Group
ENG_NA_020001_20161020_G0023FSVE_0001.4	Plateau Central
nw.chtb_0322.2	Le Tian Cup
nw.chtb_0322.2	Go
nw.chtb_0322.2	Fushan
PROXY_LTW_ENG_20070930_0021.28	Seigel
PROXY_NYT_ENG_20080919_0209.18	Rafidha
PROXY_NYT_ENG_20020406_0118.18	Nikolai N. Urakov
PROXY_NYT_ENG_20020406_0118.18	State Scientific Center of Applied Microbiology
PROXY_XIN_ENG_20040403_0262.7	Krasnoznamernsk
ENG_NA_020001_20161020_G0023FSWB_0001.4	Ministry of Public Health
PROXY_XIN_ENG_20021020_0012.7	Tikapur
PROXY_XIN_ENG_20021020_0012.7	Kailali
PROXY_XIN_ENG_20011006_0073.13	Foreign Military Assistance Act
PROXY_XIN_ENG_20031107_0242.4	Lula da Silva
PROXY_XIN_ENG_20020725_0113.8	Triad
PROXY_XIN_ENG_20041010_0024.12	Tran Duc Luong
wb.eng_0003.72	Dulles
nw.chtb_0318.7	Souya
nw.chtb_0318.7	Far South Sports Meet
PROXY_XIN_ENG_20020905_0122.11	Lalitpur
PROXY_XIN_ENG_20020905_0122.11	Kathmandu
NW_XIN_ENG_0192_2005_0906.4	Gloria Molina
NW_XIN_ENG_0192_2005_0906.4	Los Angeles County
NW_XIN_ENG_0192_2005_0906.4	Labor Day
PROXY_XIN_ENG_20021123_0156.8	Tang
PROXY_XIN_ENG_20021123_0156.8	SCO
PROXY_NYT_ENG_20020406_0118.32	Raymond Zilinskas
PROXY_XIN_ENG_20041219_0059.11	University of Science and Technology of China
PROXY_XIN_ENG_20020725_0113.20	National Narcotics Control Commission
NW_AFP_ENG_0012_2003_0419.7	Choyal
NW_AFP_ENG_0012_2003_0419.7	Muscat
PROXY_NYT_ENG_20040724_0084.20	Mauro Jose Miranda Gandra
PROXY_NYT_ENG_20040724_0084.20	Air Institute
PROXY_NYT_ENG_20040724_0084.20	Estacio de Sa University
PROXY_NYT_ENG_20040724_0084.43	Suriname
NW_XIN_ENG_0194_2007_0704.4	Renhe
NW_XIN_ENG_0194_2007_0704.4	Qinlan
NW_XIN_ENG_0195_2008_0420.7	Gaoyang
PROXY_NYT_ENG_20050716_0171.51	Quintero
wb.eng_0003.38	288
wb.eng_0003.38	Virginia Centrist
PROXY_NYT_ENG_20050716_0171.49	Julio Ramon Quintero Viloria
PROXY_XIN_ENG_20020905_0122.17	US State Department
PROXY_XIN_ENG_20020905_0122.17	Kathmandu Valley
wb.eng_0003.7	Will Jones
wb.eng_0003.7	Huguenot Trail
wb.eng_0003.7	288
PROXY_LTW_ENG_20070930_0021.29	NSG
NW_AFP_ENG_0016_2003_0527.3	Evian
PROXY_XIN_ENG_20020905_0122.21	Deuba
PROXY_XIN_ENG_20020905_0122.21	World Summit on Sustainable Development
PROXY_XIN_ENG_20040429_0189.6	Dieter Stolte
NW_AFP_ENG_0015_2003_0514.9	Shalom
NW_AFP_ENG_0015_2003_0514.1	Hamad bin Jassem bin Jabr al-Thani
PROXY_NYT_ENG_20081128_0005.24	U.N. Office on Drugs and Crime
NW_XIN_ENG_0198_2008_1218.6	Port-Vila
ENG_NA_020001_20161020_G0023FSV6_0001.4	Delmas 95
ENG_NA_020001_20161020_G0023FSV6_0001.4	Carribean
wb.eng_0003.12	VDOT
wb.eng_0003.12	288
NW_AFP_ENG_0014_2003_0502.9	Fourtou
NW_AFP_ENG_0014_2003_0502.9	Universal Music Group
ENG_NA_020001_20161020_G0023FSV1_0001.6	Mandine
ENG_NA_020001_20161020_G0023FSV1_0001.6	Petion Ville
NW_AFP_ENG_0015_2003_0514.4	Shalom
ENG_NA_020001_20161020_G0023FSVD_0001.4	Haitian Coast Guard
ENG_NA_020001_20161020_G0023FSVD_0001.4	EDH
PROXY_NYT_ENG_20020406_0118.21	Nikolai N. Urakov
PROXY_NYT_ENG_20020406_0118.21	State Scientific Center of Applied Microbiology
NW_XIN_ENG_0196_2008_1027.1	Sukabumi
PROXY_NYT_ENG_20050716_0171.41	Defense Intelligence Agency
PROXY_XIN_ENG_20021020_0012.5	Radio Nepal
wb.eng_0003.83	Huguenot Trail
wb.eng_0003.83	Chesterfield
wb.eng_0003.83	Robious Road
nw.chtb_0305.4	Kirghizia
nw.chtb_0305.4	Economy and Trade Committee
nw.chtb_0305.4	Trade Promotion Council
nw.chtb_0305.4	Chamber of Industry and Commerce
nw.chtb_0324.5	Sheng Chen
NW_AFP_ENG_0014_2003_0502.7	Universal
nw.chtb_0325.2	Bin Chi
nw.chtb_0325.2	Seventh World Swimming Championships
PROXY_NYT_ENG_20050716_0171.20	Espinoza
ENG_NA_020001_20161020_G0023FSV3_0001.4	La Plaine
PROXY_NYT_ENG_20070828_0223.22	David Albright
NW_AFP_ENG_0017_2003_0607.6	Pramod Mahajan
NW_AFP_ENG_0017_2003_0607.6	Bharatiya Janata
NW_AFP_ENG_0017_2003_0607.6	Vajpayee
ENG_NA_020001_20161020_G0023FSV3_0001.7	Moya
NW_XIN_ENG_0191_2005_0405.7	Deng
nw.chtb_0324.4	Wei Lan
ENG_NA_020001_20161020_G0023FSVT_0001.4	Patience
DF-200-192400-625_6344.3	epilepsy
DF-200-192400-625_6344.3	manic depressive
PROXY_XIN_ENG_20021123_0156.12	Tang
ENG_NA_020001_20161020_G0023FSV4_0001.4	Bon Repos
NW_AFP_ENG_0011_2003_0417.3	Agartala
PROXY_LTW_ENG_20080727_0030.24	Burns
bolt12_6455_6562.13	Ci
PROXY_XIN_ENG_20011006_0073.9	Muslims Against Illegitimate Leaders
PROXY_XIN_ENG_20020725_0333.13	Alberto Fujimori
PROXY_XIN_ENG_20020725_0333.13	Montesinos
PROXY_LTW_ENG_20070831_0072.20	Casey
NW_AFP_ENG_0016_2003_0527.6	Chretien
PROXY_XIN_ENG_20021123_0156.11	Tang
PROXY_XIN_ENG_20021123_0156.11	SCO
PROXY_XIN_ENG_20021123_0156.11	Bishkek
NW_XIN_ENG_0193_2006_0822.8	Udaipur
ENG_NA_020001_20161020_G0023FSUT_0001.5	Saint Antoine
ENG_NA_020001_20161020_G0023FSUT_0001.5	Dubois
DF-200-192400-625_7557.6	paracetamol
PROXY_XIN_ENG_20020905_0122.14	The Kathmandu Post
PROXY_LTW_ENG_20070930_0021.26	Tom Casey
PROXY_NYT_ENG_20080808_0162.31	Tskhinvali
nw.chtb_0324.15	World Championship
nw.chtb_0324.15	Bin Chi
NW_XIN_ENG_0192_2005_0906.9	Los Angeles County
NW_XIN_ENG_0192_2005_0906.9	Dream Center
bolt12_6455_6562.26	Ren Zhiqiang
bolt12_6455_6562.26	Ban Ki-Moon
bolt12_6455_6562.26	Li Yinhe
PROXY_XIN_ENG_20021228_0162.5	Hiro Ueki
NW_AFP_ENG_0012_2003_0419.4	Wilayat
NW_AFP_ENG_0012_2003_0419.4	Abdullah al-Harthy
bolt12_64556_5628.1	Hua Mulan
PROXY_NYT_ENG_20071115_0274.8	Nuclear Suppliers Group
PROXY_LTW_ENG_20070930_0021.27	David Siegel
NW_XIN_ENG_0191_2005_0405.5	Qinghai
PROXY_XIN_ENG_20021123_0156.20	Tang
PROXY_XIN_ENG_20021123_0156.20	SCO
ENG_NA_020001_20161020_G0023FSW2_0001.5	Place Canape Vert
nw.chtb_0302.7	Huaqing Liu
PROXY_NYT_ENG_20050716_0171.14	Uruguay
NW_AFP_ENG_0009_2003_0330.2	Miyako Fuji
NW_AFP_ENG_0009_2003_0330.2	Jiji
ENG_NA_020001_20161020_G0023FSUU_0001.4	OJCAD
ENG_NA_020001_20161020_G0023FSUU_0001.4	Duffort
PROXY_XIN_ENG_20040429_0189.11	Gottfried Leibnitz
PROXY_LTW_ENG_20081115_0076.18	David Albright
PROXY_XIN_ENG_20021123_0156.22	Tang
PROXY_XIN_ENG_20021123_0156.22	SCO
NW_XIN_ENG_0191_2005_0405.4	Deng Haiping
nw.chtb_0302.5	Chavalit
PROXY_XIN_ENG_20020701_0314.16	Montesinos
PROXY_XIN_ENG_20020701_0314.16	Callao Naval Base
ENG_NA_020001_20161020_G0023FSUR_0001.4	Delmas 32
wb.eng_0003.46	5:26
ENG_NA_020001_20161020_G0023FSV8_0001.4	Port-de-Paix
PROXY_XIN_ENG_20020725_0113.21	Chen Cunyi
PROXY_XIN_ENG_20020725_0113.21	Bureau of Narcotics Control
PROXY_XIN_ENG_20020725_0113.21	Ip Lau Chuen
PROXY_XIN_ENG_20020725_0113.21	Narcotics Bureau
NW_XIN_ENG_0196_2008_1027.4	Sukabumi
NW_XIN_ENG_0196_2008_1027.4	Bandung
PROXY_XIN_ENG_20040403_0262.5	Titov
PROXY_LTW_ENG_20070930_0021.33	NSG Guidelines
PROXY_NYT_ENG_20020406_0118.14	Nikolai N. Urakov
PROXY_NYT_ENG_20020406_0118.14	State Scientific Center of Applied Microbiology
PROXY_XIN_ENG_20011006_0073.11	Foreign Military Assistance Act
PROXY_NYT_ENG_20080919_0209.24	Fars
PROXY_NYT_ENG_20080919_0209.24	Sunni Islam
NW_XIN_ENG_0209_2008_0513.15	Yway Ywa
NW_AFP_ENG_0018_2003_0616.7	William Scott
NW_AFP_ENG_0018_2003_0616.7	Nancy Scott
ENG_NA_020001_20161020_G0023FSUO_0001.6	Tiboukan
ENG_NA_020001_20161020_G0023FSUO_0001.6	Gresye
PROXY_XIN_ENG_20040922_0123.9	Eastern Turkistan
ENG_DF_000170_20050903_C00020J0V_0001.32	Oak Hill
nw.chtb_0303.3	Casymier Auye Muba
nw.chtb_0303.3	Gabon Republic
NW_XIN_ENG_0191_2005_0405.15	Deng
PROXY_NYT_ENG_20050716_0171.19	Espinoza
PROXY_XIN_ENG_20020725_0113.16	IDEC
PROXY_XIN_ENG_20031107_0242.5	South African Press Association
PROXY_XIN_ENG_20031107_0242.5	Lula da Silva
ENG_NA_020001_20161020_G0023FSWE_0001.4	General Police Department
ENG_NA_020001_20161020_G0023FSWE_0001.4	Paco Lazon
PROXY_NYT_ENG_20020406_0118.4	Mosenergo
NW_AFP_ENG_0013_2003_0427.5	John Joseph
NW_AFP_ENG_0013_2003_0427.5	Faisalabad
NW_AFP_ENG_0013_2003_0427.5	Sahiwal
NW_AFP_ENG_0013_2003_0427.5	Ayub Masih
PROXY_XIN_ENG_20040922_0123.14	Shanghai Cooperation Organization
PROXY_NYT_ENG_20080808_0162.33	Tskhinvali
NW_AFP_ENG_0014_2003_0502.4	Vivendi Universal
PROXY_XIN_ENG_20040407_0026.10	Hambali
nw.chtb_0318.2	Far East and South Pacific Region Handicapped Sports Meet
nw.chtb_0305.11	Kirghizia
PROXY_XIN_ENG_20011006_0073.7	Muslims Against Illegitimate Leaders
wb.eng_0003.16	Chesterfield County
wb.eng_0003.16	Goochland County
DF-200-192400-625_6344.35	tsr
PROXY_XIN_ENG_20020725_0113.4	Triad
NW_AFP_ENG_0014_2003_0502.1	Vivendi Universal
PROXY_XIN_ENG_20021228_0162.12	Hadre Air Force
PROXY_XIN_ENG_20020701_0314.10	Saul Pena
PROXY_XIN_ENG_20020701_0314.10	Montesinos
PROXY_XIN_ENG_20020725_0113.15	International Drug Enforcement Conference
nw.chtb_0325.3	Bin Chi
NW_AFP_ENG_0013_2003_0427.4	Ranjha
NW_AFP_ENG_0013_2003_0427.4	Faisalabad
DF-200-192400-625_7200.11	Asperger's
PROXY_XIN_ENG_20040922_0123.8	Shanghai Cooperation Organization
PROXY_NYT_ENG_20070618_0031.8	Wu Dawei
PROXY_NYT_ENG_20040724_0084.17	Jose Viegas
PROXY_XIN_ENG_20041219_0059.16	HKUST
NW_XIN_ENG_0191_2005_0405.6	Lu Shimin
PROXY_NYT_ENG_20040724_0084.29	Brazilian Air Force
PROXY_NYT_ENG_20081008_0040.9	Xarardheere
PROXY_NYT_ENG_20020406_0118.20	State Scientific Center of Applied Microbiology
PROXY_XIN_ENG_20040429_0189.7	Die Welt
ENG_NA_020001_20161020_G0023FSUY_0001.4	Route Nationale 1
ENG_NA_020001_20161020_G0023FSUY_0001.4	Cite Boston
NW_XIN_ENG_0195_2008_0420.4	Du Honghui
NW_XIN_ENG_0195_2008_0420.4	Xingshan
NW_XIN_ENG_0195_2008_0420.4	Gaoyang
nw.chtb_0322.10	Changhao Li
nw.chtb_0322.10	Changhe Liu
NW_AFP_ENG_0019_2003_0630.6	Beit Lahiya
PROXY_XIN_ENG_20030428_0226.13	Mirage 2002-5
PROXY_XIN_ENG_20030428_0226.13	T-72
PROXY_XIN_ENG_20030428_0226.13	T-90
ENG_NA_020001_20161020_G0023FSW6_0001.4	Ranche Croix Des Bouquet
nw.chtb_0305.6	Akayev
nw.chtb_0305.2	Kirghizia
NW_XIN_ENG_0193_2006_0822.11	Raje
PROXY_XIN_ENG_20020725_0113.5	Triad
PROXY_NYT_ENG_20081008_0040.21	T-72
nw.chtb_0302.3	Huaqing Liu
PROXY_XIN_ENG_20030428_0226.18	Alliot-Marie
PROXY_XIN_ENG_20030428_0226.18	George Fernandes
ENG_DF_000170_20050903_C00020J0V_0001.11	South Texas
PROXY_XIN_ENG_20011006_0073.6	The Citizen
nw.chtb_0322.7	Dayuan Cao
PROXY_XIN_ENG_20041219_0059.17	HKUST
NW_XIN_ENG_0191_2005_0405.13	Deng
NW_XIN_ENG_0191_2005_0405.13	Hung Zhihua
NW_XIN_ENG_0191_2005_0405.9	Daban
NW_XIN_ENG_0191_2005_0405.9	Ertanggou
NW_XIN_ENG_0191_2005_0405.9	Menyuan Hui Autonomous
NW_XIN_ENG_0191_2005_0405.9	Haibei Tibetan Autonomous
PROXY_NYT_ENG_20071115_0274.5	Nuclear Suppliers Group
PROXY_XIN_ENG_20041010_0024.11	Vietnam Railway Corporation
NW_XIN_ENG_0191_2005_0405.2	Menyuan
PROXY_NYT_ENG_20040724_0084.23	Gandra
ENG_NA_020001_20161020_G0023FSUW_0001.4	Croix de Bouquets
PROXY_XIN_ENG_20020829_0017.6	Royal Nepal Army
PROXY_XIN_ENG_20020829_0017.6	Okubahal
PROXY_XIN_ENG_20020829_0017.6	Sundhara
PROXY_XIN_ENG_20020829_0017.6	Lalitpur
PROXY_XIN_ENG_20020829_0017.6	Kathmandu
ENG_NA_020001_20161020_G0023FSW9_0001.4	Sivilien Sagesse
ENG_NA_020001_20161020_G0023FSW9_0001.4	Gros More
ENG_DF_000170_20050903_C00020J0V_0001.53	Doubletree Hotel
ENG_DF_000170_20050903_C00020J0V_0001.53	North IH 35
ENG_DF_000170_20050903_C00020J0V_0001.53	Jon McFarland
ENG_DF_000170_20050903_C00020J0V_0001.53	AmeriSuites
ENG_DF_000170_20050903_C00020J0V_0001.53	Tudor Blvd
ENG_DF_000170_20050903_C00020J0V_0001.53	Linda Wilson
ENG_DF_000170_20050903_C00020J0V_0001.53	Joan Buquet
PROXY_NYT_ENG_20050716_0171.27	AK-103
PROXY_XIN_ENG_20020725_0333.6	El Comercio
PROXY_XIN_ENG_20020725_0333.6	Montesinos
PROXY_XIN_ENG_20020725_0333.6	Alto Huallaga
PROXY_XIN_ENG_20020725_0333.6	Shinning Path
PROXY_XIN_ENG_20020725_0333.6	Tupac Amaru Revolutionary Movement
PROXY_XIN_ENG_20041219_0059.18	Paul Ching-Wu Chu
PROXY_XIN_ENG_20041219_0059.18	HKUST
PROXY_XIN_ENG_20031107_0242.15	Lula da Silva
PROXY_XIN_ENG_20020905_0122.9	Kathmandu
NW_AFP_ENG_0019_2003_0630.14	Karni-Netzarim road
NW_AFP_ENG_0019_2003_0630.14	Kfar Darom
NW_AFP_ENG_0019_2003_0630.14	Guest House
PROXY_XIN_ENG_20040403_0262.4	Titov
PROXY_XIN_ENG_20040403_0262.4	Krasnoznamernsk
PROXY_XIN_ENG_20021123_0156.4	Tang Jiaxuan
PROXY_XIN_ENG_20021123_0156.4	Shanghai Cooperation Organization
PROXY_NYT_ENG_20050716_0171.48	Espinoza
PROXY_XIN_ENG_20040407_0026.7	Hambali
ENG_NA_020001_20161020_G0023FSUV_0001.4	Magloire Ambroide Avenue
nw.chtb_0322.6	Xiaoguang Liu
nw.chtb_0322.6	Hao Chang
nw.chtb_0322.6	Weiping Nie
ENG_NA_020001_20161020_G0023FSWF_0001.4	St. Marc
PROXY_NYT_ENG_20081008_0040.8	Ahmed Omar
PROXY_NYT_ENG_20081008_0040.8	Xarardheere
ENG_NA_020001_20161020_G0023FSVF_0001.4	Saint Michel
PROXY_XIN_ENG_20040407_0026.13	Sheik Mohammed Khalid
PROXY_NYT_ENG_20050716_0171.34	Ochoa
ENG_NA_020001_20161020_G0023FSWF_0001.5	St. Marc
NW_XIN_ENG_0195_2008_0420.9	Du
PROXY_XIN_ENG_20040407_0026.17	Gloria Macapagal-Arroyo
PROXY_NYT_ENG_20020406_0118.27	Randall Lee Beatty
PROXY_NYT_ENG_20020406_0118.27	State Scientific Center of Applied Microbiology
NW_AFP_ENG_0009_2003_0330.4	Jiji
NW_AFP_ENG_0009_2003_0330.4	Osaka Castle
NW_AFP_ENG_0016_2003_0527.1	Jean Chretien
PROXY_NYT_ENG_20020406_0118.12	State Scientific Center of Applied Microbiology
PROXY_XIN_ENG_20041219_0059.19	HKUST
PROXY_XIN_ENG_20041219_0059.19	Pearl River Delta
nw.chtb_0322.13	Hao Chang
nw.chtb_0322.13	Fengzhu Xu
PROXY_NYT_ENG_20080808_0162.18	Mikheil Saakashvili
nw.chtb_0322.8	XunXuan Cao
nw.chtb_0322.8	Jing Lui
nw.chtb_0322.8	Changhao Li
nw.chtb_0322.8	Xiaocun Ma
nw.chtb_0322.8	Changhe Liu
nw.chtb_0322.8	Jianhong Wang
NW_AFP_ENG_0010_2003_0401.2	Callum McCarthy
NW_AFP_ENG_0010_2003_0401.2	Howard Davies
PROXY_XIN_ENG_20040407_0026.6	ABS-CBN News
PROXY_XIN_ENG_20040407_0026.6	Isamudin Raduan Hambali
NW_XIN_ENG_0190_2003_0709.2	Hefei
PROXY_NYT_ENG_20020406_0118.29	State Scientific Center of Applied Microbiology
NW_XIN_ENG_0198_2008_1218.4	Honiara
PROXY_XIN_ENG_20020701_0314.14	Fujimori
wb.eng_0003.11	VDOT
PROXY_LTW_ENG_20070831_0072.24	Kimball
PROXY_XIN_ENG_20040407_0026.15	Metro Manila
PROXY_XIN_ENG_20021228_0162.11	Hiro Ueki
PROXY_XIN_ENG_20021228_0162.11	Bath Party
PROXY_LTW_ENG_20081115_0076.14	Sergei Ryabkov
PROXY_XIN_ENG_20040407_0026.12	Sheik Mohammed Khalid
NW_AFP_ENG_0010_2003_0401.4	McCarthy
NW_AFP_ENG_0010_2003_0401.4	Federal Security Agency
ENG_NA_020001_20161020_G0023FSW8_0001.4	Rue Menos
ENG_NA_020001_20161020_G0023FSW8_0001.4	Fontamara 43
PROXY_XIN_ENG_20021228_0162.7	Yaffa
bolt12_6455_6562.16	Ryukyu Islands
ENG_NA_020001_20161020_G0023FSVU_0001.5	Church of Saint Maire
PROXY_LTW_ENG_20070831_0072.19	Tom Casey
PROXY_NYT_ENG_20081128_0005.4	Antonio Maria Costa
PROXY_NYT_ENG_20081128_0005.4	U.N. Drug Office
bolt12_91455_5327.1	Imperial Examination
bolt12_91455_5327.1	Imperial Examination
PROXY_XIN_ENG_20020725_0113.13	Triad
ENG_DF_000170_20050903_C00020J0V_0001.56	Central Texas
ENG_DF_000170_20050903_C00020J0V_0001.61	Judith
NW_AFP_ENG_0015_2003_0514.7	Shalom
PROXY_XIN_ENG_20030428_0226.19	Alliot-Marie
NW_XIN_ENG_0194_2007_0704.7	Tianchang
NW_XIN_ENG_0194_2007_0704.7	Anhui
PROXY_LTW_ENG_20080727_0030.25	William J. Burns
nw.chtb_0322.15	Go
ENG_NA_020001_20161020_G0023FSW3_0001.4	Monrepos 38
NW_AFP_ENG_0009_2003_0330.1	United_States
ENG_DF_000170_20050903_C00020J0V_0001.44	Convict Hill RD
ENG_DF_000170_20050903_C00020J0V_0001.44	Oak Hill
ENG_DF_000170_20050903_C00020J0V_0001.44	Ann Bennett
PROXY_XIN_ENG_20021020_0012.12	Himalaya
NW_XIN_ENG_0190_2003_0709.3	Wuwei
NW_XIN_ENG_0190_2003_0709.3	Anhui
PROXY_NYT_ENG_20020406_0118.33	Mosenergo
PROXY_NYT_ENG_20020406_0118.33	State Scientific Center of Applied Microbiology
PROXY_NYT_ENG_20020406_0118.33	Obolensk
NW_XIN_ENG_0193_2006_0822.9	Vasundhara Raje
PROXY_NYT_ENG_20080919_0209.19	Rafidha
NW_AFP_ENG_0012_2003_0419.2	Muscat
PROXY_NYT_ENG_20020406_0118.23	Randall Lee Beatty
PROXY_NYT_ENG_20020406_0118.23	State Scientific Center of Applied Microbiology
PROXY_NYT_ENG_20020406_0118.23	Obolensk
NW_AFP_ENG_0019_2003_0630.9	trans-Gaza highway
PROXY_XIN_ENG_20020725_0113.22	National Narcotics Control Commission
wb.eng_0003.20	Route 288
wb.eng_0003.98	288
ENG_NA_020001_20161020_G0023FSUX_0001.4	Kenscoff
NW_XIN_ENG_0209_2008_0513.16	Yay Wai Ywa
NW_XIN_ENG_0209_2008_0513.16	Weekly Eleven News
nw.chtb_0324.7	Si Aiwan
NW_AFP_ENG_0010_2003_0401.7	Financial Services Authority
PROXY_XIN_ENG_20020701_0314.13	Montesinos
PROXY_XIN_ENG_20020701_0314.13	Fujimori
PROXY_NYT_ENG_20040724_0084.41	Fernandinho Beira-Mar
PROXY_NYT_ENG_20081008_0040.20	Mombasa
PROXY_NYT_ENG_20020406_0118.19	Nikolai N. Urakov
PROXY_NYT_ENG_20020406_0118.19	State Scientific Center of Applied Microbiology
NW_AFP_ENG_0013_2003_0427.10	General Zia-ul Haq
PROXY_LTW_ENG_20070930_0021.17	NSG
PROXY_XIN_ENG_20021228_0162.10	Ibn Younis Center
ENG_NA_020001_20161020_G0023FSVC_0001.4	Impasse Nicolas
ENG_NA_020001_20161020_G0023FSVC_0001.4	Canapevert
NW_AFP_ENG_0019_2003_0630.18	Rafah
ENG_NA_020001_20161020_G0023FSV7_0001.4	nway
ENG_NA_020001_20161020_G0023FSV7_0001.4	Croix-des-Bouquets
NW_AFP_ENG_0010_2003_0401.1	Financial Services Authority
nw.chtb_0305.9	Kirghizia
PROXY_NYT_ENG_20040724_0084.22	Viegas
PROXY_NYT_ENG_20080919_0209.9	Al-Sistani
wb.eng_0003.49	Chichester
PROXY_NYT_ENG_20040724_0084.35	SIVAM
nw.chtb_0305.1	Menjun Ju
nw.chtb_0305.1	Xiaoguang Hu
nw.chtb_0305.1	Bishket
PROXY_XIN_ENG_20030624_0298.8	De Villepin
ENG_NA_020001_20161020_G0023FSV9_0001.4	Delmas 1
bolt12_6455_6561.9	Unit 731
bolt12_6455_6561.9	Nanjing Massacre
bolt12_6455_6561.9	Hengyang
bolt12_6455_6561.9	Changsha
PROXY_XIN_ENG_20030709_0070.7	Convention
ENG_DF_000170_20050903_C00020J0V_0001.49	Liza Levine
ENG_DF_000170_20050903_C00020J0V_0001.49	Alan Potash
ENG_DF_000170_20050903_C00020J0V_0001.49	Hayley Wasser
PROXY_XIN_ENG_20040407_0026.5	ABS-CBN
PROXY_XIN_ENG_20040407_0026.5	Immigrations Bureau
PROXY_NYT_ENG_20020406_0118.16	State Scientific Center of Applied Microbiology
PROXY_XIN_ENG_20020701_0314.4	Fujimori
PROXY_XIN_ENG_20020725_0333.4	Montesinos
ENG_DF_000170_20050903_C00020J0V_0001.28	Burger Center
ENG_DF_000170_20050903_C00020J0V_0001.28	Convention Center
ENG_NA_020001_20161020_G0023FSVY_0001.5	St. Nicholas Hospital
