NW_AFP_ENG_0018_2003_0616.1	
PROXY_XIN_ENG_20041010_0024.16	:year 2003
PROXY_LTW_ENG_20070831_0072.7	:month 9 :year 2007
nw.chtb_0303.4	:day 9 :month 9
nw.chtb_0303.4	:day 13 :month 9
PROXY_XIN_ENG_20040407_0026.8	:year 2001
PROXY_LTW_ENG_20070930_0021.18	:month 11 :year 2007
PROXY_NYT_ENG_20050716_0171.63	:month 4 :year 2005
PROXY_XIN_ENG_20030624_0298.16	:decade 1960
NW_AFP_ENG_0014_2003_0502.8	:year 2003
NW_AFP_ENG_0014_2003_0502.8	
ENG_NA_020001_20161020_G0023FSVU_0001.4	
NW_AFP_ENG_0013_2003_0427.2	:year 1998
nw.chtb_0324.1	:day 1 :month 9
wb.eng_0003.4	:year 2004
NW_AFP_ENG_0018_2003_0616.3	:day 2 :month 6
NW_AFP_ENG_0018_2003_0616.3	
wb.eng_0003.9	:year 2004
PROXY_NYT_ENG_20081008_0040.16	:year 2008
NW_AFP_ENG_0018_2003_0616.2	:day 14 :month 1
ENG_NA_020001_20161020_G0023FSW4_0001.4	
PROXY_NYT_ENG_20040724_0084.27	:year 2003
PROXY_LTW_ENG_20081115_0076.5	:day 14 :month 11 :year 2008
PROXY_XIN_ENG_20030709_0070.6	:day 9 :month 6 :year 2003
wb.eng_0003.79	
wb.eng_0003.79	
PROXY_NYT_ENG_20020406_0118.34	:year 2000
NW_XIN_ENG_0189_2003_0324.1	
NW_XIN_ENG_0192_2005_0906.3	
NW_AFP_ENG_0019_2003_0630.17	
NW_AFP_ENG_0019_2003_0630.17	
bolt12_6455_6562.25	:day 26 :month 6 :year 2002
NW_XIN_ENG_0194_2007_0704.8	
PROXY_XIN_ENG_20041219_0059.14	:month 10 :year 2004
nw.chtb_0302.1	:day 1 :month 9
PROXY_XIN_ENG_20030624_0298.1	:day 24 :month 6 :year 2003
NW_AFP_ENG_0013_2003_0427.3	
PROXY_XIN_ENG_20030624_0298.18	:year 1979
PROXY_NYT_ENG_20080808_0162.15	:day 8 :month 8 :year 2008
nw.chtb_0322.1	:day 31 :month 8
nw.chtb_0325.1	:day 1 :month 9
NW_XIN_ENG_0194_2007_0704.2	:day 4 :month 7
NW_XIN_ENG_0209_2008_0513.21	:day 2 :month 5
NW_XIN_ENG_0209_2008_0513.21	:day 3 :month 5
NW_XIN_ENG_0194_2007_0704.3	
bolt12_6455_6561.16	:century 21
nw.chtb_0324.2	
NW_AFP_ENG_0012_2003_0419.8	
NW_AFP_ENG_0013_2003_0427.1	
PROXY_NYT_ENG_20071115_0274.11	:year 2002
PROXY_XIN_ENG_20030709_0070.8	:day 14 :month 7 :year 2003
nw.chtb_0319.2	:day 31 :month 8
PROXY_LTW_ENG_20070930_0021.8	:month 3 :year 2007
PROXY_XIN_ENG_20020725_0333.14	:month 11
PROXY_NYT_ENG_20071115_0274.4	:year 1998
NW_XIN_ENG_0191_2005_0405.3	
PROXY_NYT_ENG_20080808_0162.20	:day 8 :month 8 :year 2008
PROXY_NYT_ENG_20080808_0162.4	:day 8 :month 8 :year 2008
NW_AFP_ENG_0011_2003_0417.1	
NW_XIN_ENG_0192_2005_0906.2	:day 6 :month 9
NW_AFP_ENG_0011_2003_0417.2	
PROXY_XIN_ENG_20041010_0024.6	:day 10 :month 10 :year 2004
PROXY_LTW_ENG_20070930_0021.10	:day 17 :month 3 :year 2007
PROXY_XIN_ENG_20041219_0059.5	:year 2004
PROXY_XIN_ENG_20021123_0156.9	:month 10 :year 2002
NW_AFP_ENG_0013_2003_0427.6	:year 1996
PROXY_XIN_ENG_20021020_0012.13	:month 8 :year 2001
PROXY_XIN_ENG_20021020_0012.13	:year 1996
PROXY_XIN_ENG_20040429_0189.14	:year 1988
PROXY_NYT_ENG_20070618_0031.4	:month 12 :year 2007
PROXY_NYT_ENG_20070618_0031.4	:month 6 :year 2007
PROXY_NYT_ENG_20040724_0084.19	:year 2004
NW_XIN_ENG_0196_2008_1027.3	
nw.chtb_0325.7	
NW_AFP_ENG_0009_2003_0330.6	
PROXY_NYT_ENG_20081128_0005.20	:year 2008
PROXY_XIN_ENG_20020725_0333.10	:year 1992
PROXY_NYT_ENG_20050716_0171.50	:year 2005
PROXY_NYT_ENG_20050716_0171.50	:year 2006
NW_XIN_ENG_0209_2008_0513.22	
PROXY_NYT_ENG_20070618_0031.18	:month 2 :year 2007
nw.chtb_0303.2	:day 17 :month 9
nw.chtb_0303.2	
NW_AFP_ENG_0012_2003_0419.11	
DF-200-192400-625_7046.2	:month 9
